customer_message,amazon_reply,intent,expected_action,reason
@AmazonHelp U people not even understanding the situation...there was fire on stove n if cylinder got fired what worst could happened...,@119703 I'm sure our team would reach out to you soon. (2/2) ^VM,SAFETY_ISSUE,ESCALATE,The message describes a potential safety incident. Potential safety incident requires human review.
@AmazonHelp i reset my password 3 times and it still says incorrect you gotta be shitting me,@116611 I'm sorry for the trouble! Have you tried the steps outlined here? https://t.co/POJ37mWiEk ^LA,ACCOUNT_MEMBERSHIP,ESCALATE,"The message concerns account access, membership, or contacting support. Account security or access concern requires human review."
"Really unhappy, @AmazonHelp. I'm sitting here at home all day and I got this text a few minutes ago. https://t.co/w35PxLWI0K",@120034 Hello! I'm really sorry for the frustration. Who was the carrier for the order? You can find that here: https://t.co/Y5jpI9gRhE ^AJ,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp I can’t log in because it’s locked.,"@116612 The link ^TN provided will allow you to contact us without signing in! Select ""skip log in"" and you'll be in touch in no time! ^VB",ACCOUNT_MEMBERSHIP,ESCALATE,"The message concerns account access, membership, or contacting support. Account security or access concern requires human review."
"@AmazonHelp J’ai commandé lundi deux produits, bénéficiant de Prime j’ai opté pour la livraison le soir. Ils ne sont jamais arrivés.",@121049 J'en suis vraiment navré. L'avez-vous signalé à notre SAV ? ^ARC,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
"@AmazonHelp 1. Does it work without being plugged in to power? 
2. If yes, what is battery life? 
3. Can it be used for receiving and making calls?","@120773 to connect via voice through the Alexa app. Yes, you can connect it as a Bluetooth speaker. 2/3 ^RW",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp They said it was UPS. UPS says they never received the package to deliver ¯\_(ツ)_/¯,"@116851 To confirm, what does the latest tracking update show? Please check here: https://t.co/eR31oAnsW2 ^BE",DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
"@AmazonHelp J'ai voulu annuler ma commande, mais Amazon dit que c'est soit disant trop tard... Vraiment barbant chez Amazon ! Que des problèmes!","@120849 Désolé pour cela. Si l'annulation n'est plus possible, vous aurez la possibilité de refuser le colis lors de la livraison 1/2",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Ok thank u,"@120317 You're welcome, Aleema. Do let us know if you need any further assistance. ^SY",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp It was expected 10/30-10/31 so yes, it has passed.",@119969 Please contact us: https://t.co/hApLpMlfHN so an agent can look into this for you. ^JJ,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Update ??? What your internal investigation repors tell you ??,"@118924 Sorry for this trouble. If the details were shared, you must've received a correspondence from us. Please check and reply. ^HD",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp No use of prime membership, return my money","@119791 Could you please confirm, if we've missed the estimated delivery date? ^AG",PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
