row_number,customer_message,current_intent,suggested_intent,current_action,suggested_action,reason_for_review
5,"@AmazonHelp J’ai commandé lundi deux produits, bénéficiant de Prime j’ai opté pour la livraison le soir. Ils ne sont jamais arrivés.",ACCOUNT_MEMBERSHIP,DELIVERY_ISSUE,AUTO_HANDLE,AUTO_HANDLE,The message explicitly says two Prime deliveries never arrived.
6,"@AmazonHelp 1. Does it work without being plugged in to power? 
2. If yes, what is battery life? 
3. Can it be used for receiving and making calls?",ACCOUNT_MEMBERSHIP,PRODUCT_TECHNICAL,AUTO_HANDLE,AUTO_HANDLE,"The customer asks about an Echo/device's power, battery, and calling behavior."
8,"@AmazonHelp J'ai voulu annuler ma commande, mais Amazon dit que c'est soit disant trop tard... Vraiment barbant chez Amazon ! Que des problèmes!",GENERAL_SUPPORT,ORDER_ISSUE,ESCALATE,ESCALATE,The customer cannot cancel an order; cancellation handling may require human intervention.
19,"Placed order today, said delivery would be Wed but just received email saying it'll be Thurs now? I'm a prime customer @AmazonHelp. Unhappy!",ACCOUNT_MEMBERSHIP,DELIVERY_ISSUE,AUTO_HANDLE,AUTO_HANDLE,The message reports a changed promised delivery date.
24,@AmazonHelp Your customer service has reverted saying that apparently the package has been delivered and signed by receipt my yesterday. Not true.,PRODUCT_TECHNICAL,DELIVERY_ISSUE,AUTO_HANDLE,ESCALATE,The customer disputes a delivered status and says the package was not received.
26,@AmazonHelp You have and it’s been pushed (again) to Friday or possibly Saturday or god forbid Monday. Was told it would be diverted by 8pm tonight.,GENERAL_SUPPORT,DELIVERY_ISSUE,ESCALATE,ESCALATE,The message describes a repeatedly delayed or diverted delivery.
28,@AmazonHelp Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,GENERAL_SUPPORT,PRODUCT_TECHNICAL,ESCALATE,ESCALATE,"The customer reports missing beta and digital content, requiring product/service investigation."
29,@AmazonHelp Wasn't tracked as sent via Royal Mail. I've emailed the seller.,ACCOUNT_MEMBERSHIP,DELIVERY_ISSUE,AUTO_HANDLE,AUTO_HANDLE,The message concerns shipment tracking with Royal Mail.
30,@1404 @AmazonHelp  product is not deliverable to any single pincode in India. making customers fool by listing product at low price https://t.co/3hxhLgCaWd,PAYMENT_BILLING,ORDER_ISSUE,AUTO_HANDLE,AUTO_HANDLE,The customer says the listed product cannot be ordered for an Indian pincode.
33,@AmazonHelp I received product with torn package with clear damage however small though. Proper care was not taken while delivering. And now if I replace product it will take 5-7 days atleast which I can not afford. I have no option but to keep it and suffer due to bad practise in delivery.,DELIVERY_ISSUE,PRODUCT_QUALITY,AUTO_HANDLE,ESCALATE,The customer received a visibly damaged package and faces a replacement problem.
35,"@AmazonHelp heißt das, das  ich umsonst zu Hause geblieben bin und ich hätte zur Arbeit gehen können da es wohl heute nicht mehr kommt? https://t.co/gSCaua0Qrd",GENERAL_SUPPORT,DELIVERY_ISSUE,ESCALATE,AUTO_HANDLE,The customer stayed home for a delivery that is now delayed until tomorrow.
