customer_message,intent,label_source,confidence
"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp こちらこそありがとうございました。,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp Okay, danke für die Info",GENERAL_SUPPORT,rule_assisted,medium
@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,GENERAL_SUPPORT,rule_assisted,low
@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,DELIVERY_ISSUE,rule_assisted,medium
@AmazonHelp Hi ready for some help,GENERAL_SUPPORT,rule_assisted,medium
@AmazonHelp Is the Echo Show no longer supported?,PRODUCT_TECHNICAL,rule_assisted,medium
"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,DELIVERY_ISSUE,rule_assisted,medium
.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,RETURN_REFUND,rule_assisted,medium
@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,PRODUCT_QUALITY,rule_assisted,high
"@AmazonHelp Already handled, just venting. It was a pretty big bummer.",GENERAL_SUPPORT,rule_assisted,low
"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Details sent. Please check.,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,GENERAL_SUPPORT,rule_assisted,medium
@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,GENERAL_SUPPORT,rule_assisted,medium
@115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,GENERAL_SUPPORT,rule_assisted,low
@115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,GENERAL_SUPPORT,rule_assisted,low
@AmazonHelp since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,ACCOUNT_MEMBERSHIP,rule_assisted,medium
@AmazonHelp but I can’t find the options to cancel or re-order?,ORDER_ISSUE,rule_assisted,medium
