row_number,customer_message,generated_reply,relevance,groundedness,correctness,helpfulness,brand_consistency,unsupported_claims,overall_score,brief_reason
10,"@AmazonHelp It was expected 10/30-10/31 so yes, it has passed.","Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
16,@AmazonHelp AMZL US,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
17,@AmazonHelp Pathetic reply by your caller,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
19,"Placed order today, said delivery would be Wed but just received email saying it'll be Thurs now? I'm a prime customer @AmazonHelp. Unhappy!","Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
31,@AmazonHelp Kindly see this picture.. what kind of crap is this . I haven't received refund for this product.its been two months . https://t.co/7b9FuW1gyI,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
46,@AmazonHelp no body inform me. once u return that parcel. please send the tracking id or parcel details. but after 10days i call amazon custamare care,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
56,@120612 @AmazonHelp Right some time they people make fool. Before perchasing they people not mention anywhere for self return so why we do it otherwise we...,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
57,@AmazonHelp .com,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
61,@AmazonHelp @115833 What is 2nd Generation? I have Amazon Echo from US ? Not the Echo Dot.,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
66,@AmazonHelp yes did that but no outcome till now. waste of time,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
67,"@AmazonHelp ""Refused shipment - on the way back.""","Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
68,@AmazonHelp Is there any update??,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
69,"@AmazonHelp All m getting is apologies but no refund.. everything is online, unable to understand the delay!!","Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
70,@AmazonHelp I rather not take prime then and use the normal service as I don’t see any diff or advantages,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
76,@AmazonHelp here is the email. Conflicting answers from others in similar situations online. https://t.co/9zbCqLzokH,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
77,@AmazonHelp I already talked to your customer care. They are saying kindle prime reading is only available for US residents. I am asking why?,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
79,@AmazonHelp Please reply with necessary resolution...,"Based on similar AmazonHelp cases, please contact Amazon customer support for assistance.",3,3,3,3,4,False,3,Deterministic mock score; not a final quality assessment.
